Hyperparameter,Importance for Objective Value
catboost_iterations,0.9217124144489638
catboost_learning_rate,0.044378304333247624
target_encoder,0.007839591378371246
min_mutual_info_score,0.004699387937862017
pca_replace_num_features,0.003947664188423774
catboost_depth,0.0032805030897109493
catboost_colsample_bylevel,0.0026457912406961178
cluster_labels_pca_features_count,0.0024763408292520143
cluster_distances_pca_features_count,0.0015358532249223277
pca_outliers_compon_min_expl_var,0.0009356704685000694
catboost_subsample,0.0007129608532032086
outdoor_area_type_count,0.0006612145914183503
n_clusters_distances_pca,0.0006501790349454185
catboost_l2_leaf_reg,0.0004971032036908186
max_acceptable_nan,0.0004247853269561143
n_clusters_labels_pca,0.0003994861052738615
basement_interaction,0.00036673481492509585
a2l_lot_area,0.00033379982799313615
overall_interaction,0.0003022142765425278
coalesce_mssubclass,0.000224670927153994
area_features_cluster_labels,0.00022290672039612368
catboost_random_strength,0.00021317371831653303
catboost_min_data_in_leaf,0.00020630268939126286
a2l_first_flr_sf,0.00016413803345595345
GrLivArea_BldgType_interaction,0.0001427853298880215
catboost_early_stopping_rounds,0.00013423249456827067
a2l_total_bsmt_sf,0.00010381720258099618
spaciousness,0.00010356854702591702
area_features_cluster_distances,0.00010348976378676087
simple_imputer,0.00010174406086176477
group_LotArea_by_MSZoning,8.499978281884872e-05
basement_num_cat_interaction,8.298142441831734e-05
log_quantile_transform_numeric,6.161968239262921e-05
catboost_bagging_temperature,5.510024464955959e-05
a2l_gr_liv_area,4.582825738178314e-05
group_GrLivArea_by_HouseStyle,3.502720163602177e-05
living_lot_ratio,3.2146171781745573e-05
exterior_interaction,2.192029189934251e-05
group_LotArea_by_MSSubClass,1.792240792514089e-05
pca_outliers_score_distribution,9.728239369206662e-06
outside_sf_features,9.568197070131485e-06
group_GrLivArea_by_MSSubClass,9.162283928593874e-06
basement_sf_pca,7.938102885293029e-06
pool_num_cat_interaction,3.051322261515779e-06
garage_interaction,2.1777272585419722e-06
