Hyperparameter,Importance for Objective Value
lgbm_bagging_fraction,0.43970570553104105
pca_replace_num_features,0.16007297694248523
lgbm_learning_rate,0.11133882177928728
lgbm_n_estimators,0.037741282180886966
lgbm_feature_fraction,0.030889115974732758
n_clusters_distances_pca,0.029523683293658076
lgbm_min_data_in_leaf,0.027764541628137955
cluster_distances_pca_features_count,0.019566448143436315
min_mutual_info_score,0.01689949497658654
max_acceptable_nan,0.016793339522843804
lgbm_max_depth,0.016770514992994125
cluster_labels_pca_features_count,0.015591276914848006
lgbm_num_leaves_frac_max_depth_exp,0.012168769499520376
lgbm_reg_alpha,0.009419017894634868
log_quantile_transform_numeric,0.007538758408260979
lgbm_max_bin,0.0073774061490498016
lgbm_reg_lambda,0.005986778152973832
lgbm_bagging_freq,0.004486428415322174
area_features_cluster_labels,0.004277353140188245
pca_outliers_compon_min_expl_var,0.004205977858053541
area_features_cluster_distances,0.004113063857580028
group_LotArea_by_MSSubClass,0.0034537392708397503
lgbm_min_split_gain,0.0023188389718642316
GrLivArea_BldgType_interaction,0.002047193368546544
n_clusters_labels_pca,0.001980588405085629
outside_sf_features,0.0011518951984396562
a2l_lot_area,0.0011034055813735366
a2l_first_flr_sf,0.0007197447937038381
group_LotArea_by_MSZoning,0.0006923002678762799
living_lot_ratio,0.0006450354074242309
exterior_interaction,0.0005805783736260501
basement_sf_pca,0.0004400621034810169
overall_interaction,0.00043950885706932986
pca_outliers_score_distribution,0.0003446982364030899
basement_num_cat_interaction,0.00032666164429365956
a2l_total_bsmt_sf,0.0002636838612552904
outdoor_area_type_count,0.0002469549047497653
a2l_gr_liv_area,0.00023023885870943373
simple_imputer,0.0001528460620963655
pool_num_cat_interaction,0.00012132787704836355
target_encoder,0.00011321249471742891
coalesce_mssubclass,0.00011221800356143878
group_GrLivArea_by_MSSubClass,0.0001053087949513121
garage_interaction,7.580953003168788e-05
basement_interaction,6.521905447055635e-05
group_GrLivArea_by_HouseStyle,1.9320370572729547e-05
spaciousness,1.8854451287108112e-05
