Hyperparameter,Importance for Objective Value
area_features_cluster_distances,0.5212788463980121
cluster_distances_pca_features_count,0.2630575844548621
pca_replace_num_features,0.08406142512198324
n_clusters_distances_pca,0.04548178683499228
a2l_gr_liv_area,0.01734009151417557
garage_interaction,0.015017050915633268
pca_outliers_score_distribution,0.010448019025035282
exterior_interaction,0.005387222630144153
n_clusters_labels_pca,0.005117828460196359
a2l_lot_area,0.00421317320702582
area_features_cluster_labels,0.003831765575081266
log_quantile_transform_numeric,0.0033745039161754515
a2l_first_flr_sf,0.0033632144108018476
pca_outliers_compon_min_expl_var,0.00294343971822036
ridge_alpha,0.0020237508456085215
min_mutual_info_score,0.0016897303521313058
living_lot_ratio,0.0012855936695787878
a2l_total_bsmt_sf,0.0012144890445741948
group_GrLivArea_by_MSSubClass,0.0011909005532463976
basement_interaction,0.0010076494346889517
coalesce_mssubclass,0.0009318981153027122
cluster_labels_pca_features_count,0.0008707625736818979
pool_num_cat_interaction,0.0006969830674911072
group_LotArea_by_MSSubClass,0.000650156250625947
basement_sf_pca,0.0005241379918568115
GrLivArea_BldgType_interaction,0.00044654285937213733
outside_sf_features,0.0003865633612836676
overall_interaction,0.00037113267920035843
outdoor_area_type_count,0.0003666252514064166
group_LotArea_by_MSZoning,0.0003644194675419271
simple_imputer,0.0002473267508832915
target_encoder,0.00024728121922524654
group_GrLivArea_by_HouseStyle,0.0001859017819117597
spaciousness,0.00017488166486209102
basement_num_cat_interaction,0.00014237532821580344
max_acceptable_nan,6.49455549713479e-05
