Hyperparameter,Importance for Objective Value
xgboost_n_estimators,0.8174989003089244
xgboost_reg_lambda,0.029846226267637832
xgboost_learning_rate,0.023156107878027438
pca_replace_num_features,0.020588281333983428
target_encoder,0.014178441085586973
max_acceptable_nan,0.014057068975956094
cluster_labels_pca_features_count,0.012176689522963415
a2l_first_flr_sf,0.012156115787687221
pca_outliers_compon_min_expl_var,0.005566828633868069
min_mutual_info_score,0.00462231798990593
cluster_distances_pca_features_count,0.004491635786171029
xgboost_colsample_bytree,0.004327772080845673
xgboost_gamma,0.003966300947108083
xgboost_reg_alpha,0.0031668505764520976
xgboost_subsample,0.0030195195409885296
overall_interaction,0.0028875939976915743
area_features_cluster_distances,0.002794304556586217
a2l_lot_area,0.0026719317774005005
n_clusters_distances_pca,0.0025993469242916885
xgboost_max_depth,0.0019812390195728144
n_clusters_labels_pca,0.001980596589736539
xgboost_min_child_weight,0.0018436392507153068
xgboost_num_parallel_tree,0.0015093884093320767
living_lot_ratio,0.0014137339659829277
GrLivArea_BldgType_interaction,0.0013900280795971496
area_features_cluster_labels,0.00095945333821318
simple_imputer,0.0009232034847809969
pool_num_cat_interaction,0.0005853213060622271
basement_num_cat_interaction,0.0005123769647820622
a2l_gr_liv_area,0.0004359124479887058
outdoor_area_type_count,0.0003787307869507321
pca_outliers_score_distribution,0.00035882727847989977
coalesce_mssubclass,0.00031171762845448933
outside_sf_features,0.0002792487995628419
group_LotArea_by_MSSubClass,0.0002216119100606383
garage_interaction,0.00020282090230612564
a2l_total_bsmt_sf,0.000191083189980049
group_GrLivArea_by_HouseStyle,0.0001445748429667348
exterior_interaction,0.00014155925322196486
group_GrLivArea_by_MSSubClass,0.00011917831164035602
log_quantile_transform_numeric,0.00011159759709892894
basement_interaction,7.699439685288419e-05
spaciousness,6.261391976768728e-05
basement_sf_pca,6.196488863683823e-05
group_LotArea_by_MSZoning,3.034946517935504e-05
